text,stop_flag
the,True
kndougou,False
kingdom,False
also,False
referred,False
to,True
a,True
the,True
kenedugu,False
kingdom,False
c,False
wa,False
a,True
precolonial,False
west,False
african,False
state,False
established,False
in,True
the,True
southern,False
portion,False
of,True
presentday,False
mali,False
traor,False
dynasty,False
kndougou,False
wa,False
first,False
established,False
in,True
the,True
by,True
the,True
senoufo,False
people,False
who,True
originate,False
in,True
modernday,False
cote,False
divoire,False
they,True
began,False
traversing,False
the,True
border,False
of,True
cote,False
divoire,False
mali,False
burkina,False
faso,False
and,True
ghana,False
around,False
the,True
century,False
the,True
new,False
kingdom,False
wa,False
conveniently,False
centered,False
on,True
the,True
border,False
of,True
mali,False
and,True
burkina,False
faso,False
it,True
position,False
wa,False
crucial,False
to,True
the,True
exchange,False
of,True
desert,False
and,True
forest,False
good,False
sadly,False
the,True
senoufo,False
traditionalist,False
practice,False
put,False
them,True
at,True
odds,False
with,True
the,True
muslim,False
to,True
their,True
north,False
the,True
senoufo,False
of,True
kenedougou,False
adopted,False
some,True
mand,False
practice,False
such,True
a,True
the,True
king,False
title,False
of,True
faama,False
nanka,False
traor,False
became,False
kndougou,False
s,True
first,False
ruler,False
and,True
began,False
the,True
traor,False
dynasty,False
which,True
would,False
last,False
into,True
the,True
late,False
century,False
there,True
is,True
little,False
information,False
about,True
the,True
kingdom,False
s,True
formative,False
year,False
and,True
approximately,False
five,False
to,True
seven,False
famas,False
ruled,False
between,True
the,True
foundation,False
of,True
the,True
dynasty,False
and,True
fama,False
douala,False
ba,False
i,True
kndougou,False
s,True
existence,False
wa,False
marked,False
by,True
relative,False
peace,False
compared,False
to,True
neighboring,False
state,False
of,True
the,True
period,False
kndougou,False
s,True
resistance,False
this,True
would,False
all,True
come,False
to,True
an,True
end,False
in,True
the,True
last,False
quarter,False
of,True
the,True
century,False
a,True
the,True
double,False
threat,False
of,True
french,False
colonialist,False
and,True
samori,False
toure,False
began,False
swallowing,False
up,True
it,True
commercial,False
partner,False
in,True
the,True
south,False
west,False
and,True
east,False
possibly,False
anticipating,False
the,True
inevitable,False
outcome,False
faama,False
tieba,False
traor,False
moved,False
the,True
capital,False
of,True
the,True
kingdom,False
to,True
his,True
mother,False
s,True
home,False
city,False
of,True
sikasso,False
in,True
there,True
he,True
built,False
a,True
new,False
palace,False
called,False
the,True
mamelon,False
sikasso,False
on,True
a,True
strategic,False
hill,False
the,True
decision,False
proved,False
wise,False
a,True
tieba,False
and,True
his,True
successor,False
babemba,False
traor,False
fought,False
a,True
number,False
of,True
battle,False
against,True
both,True
samori,False
toure,False
and,True
the,True
rapidly,False
advancing,False
french,False
army,False
ironically,False
the,True
small,False
kingdom,False
of,True
kndougou,False
would,False
become,False
one,False
of,True
the,True
last,False
major,False
holdouts,False
against,True
french,False
ambition,False
in,True
west,False
africa,False
the,True
larger,False
state,False
were,True
falling,False
like,False
domino,False
to,True
either,False
samori,False
s,True
wassulu,False
empire,False
or,True
the,True
french,False
samori,False
attacked,False
sikasso,False
with,True
an,True
army,False
of,True
men,False
in,True
april,False
but,True
failed,False
to,True
take,False
the,True
city,False
then,True
from,True
to,True
the,True
french,False
besieged,False
sikasso,False
but,True
also,False
met,False
with,True
defeat,False
in,True
light,False
of,True
these,True
threat,False
tieba,False
ordered,False
the,True
construction,False
of,True
a,True
tata,False
or,True
fortification,False
around,False
the,True
city,False
in,True
part,False
of,True
the,True
tata,False
have,True
become,False
one,False
of,True
presentday,False
sikasso,False
s,True
major,False
tourist,False
attraction,False
following,False
tieba,False
s,True
death,False
on,True
january,False
his,True
brother,False
babemba,False
traor,False
assumed,False
the,True
throne,False
he,True
held,False
the,True
french,False
at,True
bay,False
for,True
another,False
five,False
year,False
in,True
the,True
french,False
conquered,False
sgou,False
the,True
capital,False
of,True
the,True
kndougou,False
s,True
northern,False
neighbor,False
the,True
toucouleur,False
empire,False
this,True
victory,False
renewed,False
the,True
france,False
s,True
ambition,False
toward,False
sikasso,False
and,True
they,True
prepared,False
to,True
take,False
the,True
city,False
again,True
determined,False
to,True
avenge,False
the,True
previous,False
disgrace,False
french,False
conquest,False
the,True
french,False
launched,False
an,True
artillery,False
assault,False
against,True
sikasso,False
s,True
tata,False
in,True
april,False
and,True
the,True
city,False
fell,False
on,True
may,False
of,True
the,True
same,True
year,False
rather,False
than,True
see,False
the,True
french,False
take,False
control,False
of,True
his,True
city,False
fama,False
babemba,False
ordered,False
his,True
guard,False
to,True
kill,False
him,True
the,True
territory,False
of,True
the,True
kndougou,False
kingdom,False
wa,False
soon,False
assimilated,False
into,True
the,True
colony,False
of,True
french,False
sudan,False
and,True
later,False
into,True
the,True
country,False
of,True
mali,False
the,True
memory,False
of,True
tieba,False
and,True
babemba,False
are,True
still,False
revered,False
to,True
this,True
day,False
in,True
mali,False
a,True
symbol,False
of,True
african,False
resistance,False
to,True
the,True
french,False
references,False
sources,False
pascal,False
james,False
imperato,False
historical,False
dictionary,False
of,True
mali,False
scarecrow,False
press,False
metuchen,False
nj,False
london,False
pp,False
west,False
africa,False
the,True
fight,False
for,True
survival,False
category,False
country,False
in,True
precolonial,False
africa,False
category,False
political,False
history,False
of,True
mali,False
category,False
french,False
west,False
africa,False
ramdurg,False
state,False
wa,False
one,False
of,True
the,True
maratha,False
empire,False
princely,False
state,False
ruled,False
by,True
the,True
bhave,False
family,False
during,True
the,True
british,False
raj,False
it,True
wa,False
administered,False
a,True
part,False
of,True
the,True
deccan,False
state,False
agency,False
of,True
the,True
bombay,False
presidency,False
founded,False
in,True
it,True
wa,False
one,False
of,True
the,True
former,False
state,False
of,True
the,True
southern,False
maratha,False
country,False
and,True
it,True
capital,False
wa,False
at,True
ramdurg,False
ramdurg,False
state,False
measured,False
square,False
kilometer,False
in,True
area,False
according,False
to,True
the,True
census,False
the,True
population,False
wa,False
history,False
the,True
foundation,False
of,True
the,True
state,False
date,False
back,False
to,True
when,True
ramdurg,False
state,False
wa,False
separated,False
from,True
nargund,False
during,True
hyder,False
ali,False
and,True
tipu,False
sultan,False
s,True
time,False
between,True
and,True
ramdurg,False
wa,False
occupied,False
by,True
the,True
kingdom,False
of,True
mysore,False
in,True
ramdurg,False
state,False
came,False
under,True
the,True
british,False
india,False
administration,False
ramdurg,False
acceded,False
to,True
the,True
dominion,False
of,True
india,False
on,True
march,False
and,True
is,True
currently,False
a,True
part,False
of,True
karnataka,False
state,False
and,True
territory,False
of,True
india,False
rulers,False
the,True
ruler,False
of,True
ramdurg,False
state,False
were,True
hindu,False
and,True
belonged,False
to,True
the,True
chitpavan,False
brahmin,False
caste,False
with,True
the,True
surname,False
bhave,False
the,True
diwan,False
or,True
regent,False
of,True
the,True
state,False
belonged,False
to,True
another,False
chitpavan,False
brahmin,False
family,False
with,True
surname,False
ranade,False
the,True
ruler,False
from,True
bhave,False
family,False
used,False
the,True
title,False
of,True
raja,False
rajas,False
yogirao,False
i,True
bhave,False
ramrao,False
i,True
bhave,False
d,True
occupied,False
by,True
mahisur,False
mysore,False
bapurao,False
ranade,False
regent,False
narayanrao,False
i,True
ramrao,False
appa,False
saheb,False
bhave,False
d,True
british,False
administration,False
rani,False
radhabai,False
f,False
d,True
ramrao,False
ii,False
narayanrao,False
bhave,False
yogirao,False
ii,False
bapu,False
saheb,False
bhave,False
b,False
d,True
feb,False
vyankatrao,False
yogirao,False
bhave,False
b,False
d,True
apr,False
ramrao,False
iii,False
vyankatrao,False
rao,False
saheb,False
bhave,False
b,False
d,True
see,False
also,False
list,False
of,True
maratha,False
dynasty,False
and,True
state,False
political,False
integration,False
of,True
india,False
references,False
category,False
princely,False
state,False
of,True
india,False
category,False
bombay,False
presidency,False
category,False
history,False
of,True
karnataka,False
category,False
belgaum,False
district,False
category1742,False
establishment,False
in,True
india,False
nagod,False
state,False
also,False
known,False
a,True
nagode,False
and,True
nagodh,False
wa,False
a,True
princely,False
state,False
of,True
british,False
raj,False
located,False
in,True
modern,False
satna,False
district,False
of,True
madhya,False
pradesh,False
the,True
state,False
wa,False
known,False
a,True
unchahara,False
from,True
the,True
name,False
of,True
unchehara,False
it,True
original,False
capital,False
until,True
the,True
century,False
history,False
in,True
the,True
city,False
of,True
uchchakalpa,False
presentday,False
unchahara,False
wa,False
founded,False
by,True
raja,False
veerraj,False
judeo,False
when,True
he,True
seized,False
the,True
fort,False
of,True
naro,False
from,True
the,True
others,False
in,True
the,True
state,False
wa,False
renamed,False
nagod,False
after,True
it,True
new,False
capital,False
in,True
nagod,False
wa,False
a,True
tributary,False
to,True
panna,False
state,False
and,True
wa,False
included,False
in,True
the,True
sanad,False
deed,False
granted,False
to,True
that,True
state,False
in,True
however,False
lal,False
sheoraj,False
singh,False
wa,False
recognized,False
and,True
confirmed,False
in,True
his,True
territory,False
by,True
a,True
separate,False
sanad,False
granted,False
to,True
him,True
nagod,False
state,False
became,False
a,True
british,False
protectorate,False
after,True
the,True
treaty,False
of,True
bassein,False
in,True
raja,False
balbhadra,False
singh,False
wa,False
deposed,False
in,True
for,True
murdering,False
his,True
brother,False
the,True
state,False
fell,False
into,True
debt,False
and,True
in,True
the,True
administration,False
wa,False
taken,False
over,True
by,True
the,True
british,False
owing,False
to,True
economic,False
mismanagement,False
the,True
ruler,False
wa,False
loyal,False
during,True
the,True
indian,False
mutiny,False
in,True
and,True
wa,False
granted,False
the,True
pargana,False
of,True
dhanwahl,False
in,True
the,True
raja,False
wa,False
granted,False
a,True
sanad,False
allowing,False
adoption,False
and,True
in,True
local,False
rule,False
wa,False
reestablished,False
nagod,False
state,False
wa,False
a,True
part,False
of,True
baghelkhand,False
agency,False
from,True
till,False
when,True
it,True
wa,False
transferred,False
along,False
with,True
other,True
smaller,False
state,False
back,False
